"Name","Color","Rarity","# Picked","ATA","# OH","OH WR","# GIH","GIH WR","IWD"
"Placid Rottentail","G","C","37965","11.52","9258","52.4%","20665","50.2%","-2.6pp"
"Tenured Oilcaster","B","C","42485","11.80","5921","47.1%","15521","50.2%","0.6pp"
"Phyrexian Archivist","","C","46885","13.47","1128","46.5%","3101","50.1%","-0.5pp"
"Ramosian Greatsword","R","U","28219","9.76","8120","49.3%","20526","50.1%","-3.8pp"
"Renata, Called to the Hunt","G","U","14288","5.22","10390","49.4%","25110","50.1%","-3.0pp"
"Invasion of Ergamon","RG","U","20400","9.16","7793","51.0%","18195","50.0%","-1.8pp"
"Omnath, Locus of All","WURG","R","8008","5.56","2651","46.7%","6953","49.7%","2.0pp"
"Coming In Hot","R","C","42804","12.65","3934","49.0%","9886","49.7%","-2.5pp"
"Furtive Analyst","U","C","50388","12.07","6675","48.0%","16585","49.7%","-0.1pp"
"Ichor Shade","B","C","39473","10.20","15002","48.9%","36771","49.7%","-1.0pp"
"Bonded Herdbeast","G","C","42750","11.65","7262","48.3%","18329","49.6%","-1.9pp"
"Karsus Depthguard","R","C","42748","11.99","7808","49.9%","17789","49.5%","-3.0pp"
"Heliod, the Radiant Dawn","W","R","5900","2.75","3707","48.1%","9149","49.4%","-3.3pp"
"Scrappy Bruiser","R","U","23661","10.81","3509","48.3%","8652","49.4%","-2.3pp"
"Infected Defector","W","C","37896","10.71","8193","48.8%","20784","49.3%","-2.6pp"
"Invasion of Shandalar","G","M","2872","2.52","1573","45.1%","4272","49.3%","-1.7pp"
"Kaheera, the Orphanguard","WG","R","3871","6.93","1200","50.7%","2773","49.2%","-2.0pp"
"Invasion of Moag","WG","U","18153","7.25","8879","48.6%","20948","49.2%","-3.3pp"
"Arixmethes, Slumbering Isle","UG","R","4450","5.62","1798","50.4%","4701","49.2%","0.1pp"
"Trailblazing Historian","R","C","42245","11.83","8657","50.0%","19789","49.2%","-3.3pp"
"Taigam, Ojutai Master","WU","R","4663","5.67","1909","49.2%","4836","49.1%","-4.1pp"
"Tiller of Flesh","W","U","21829","6.81","10851","48.8%","26532","49.1%","-3.4pp"
"Teysa Karlov","WB","R","3891","5.73","1567","46.8%","3972","48.9%","-0.8pp"
"Invasion of Theros","W","R","5579","6.97","918","47.3%","2195","48.9%","-2.3pp"
"Invasion of Kaldheim","R","R","7867","3.28","4983","48.1%","12540","48.8%","-3.5pp"
"Dina, Soul Steeper","BG","U","17396","11.22","2566","47.3%","6053","48.7%","-2.9pp"
"Vorinclex, Voice of Hunger","G","M","1440","3.40","605","47.6%","1655","48.2%","-1.2pp"
"Lathiel, the Bounteous Dawn","WG","R","3586","5.92","1514","46.1%","3531","48.1%","-3.6pp"
"Burning Sun's Fury","R","C","43054","13.19","1643","47.9%","4207","47.8%","-1.6pp"
"Invasion of Kamigawa","U","U","21141","7.35","9644","44.1%","25165","47.4%","-5.1pp"
"Complete the Circuit","U","R","8227","8.59","492","41.5%","1315","47.2%","-5.7pp"
"Squee, the Immortal","R","R","3921","6.49","1931","46.4%","4658","47.1%","-5.1pp"
"Invasion of Arcavios","U","R","6828","8.21","420","41.2%","1161","47.0%","-0.1pp"
"Invasion of Kylem","WR","U","18358","10.51","3048","46.5%","7309","46.9%","-4.9pp"
"Vengeant Earth","G","C","41261","13.32","1110","46.0%","2699","46.4%","-4.0pp"
"Radha, Coalition Warlord","RG","U","16254","11.46","1689","44.9%","4271","46.1%","-2.9pp"
"Yargle, Glutton of Urborg","B","U","15707","11.83","571","43.8%","1497","45.6%","-0.1pp"
"Firesong and Sunspeaker","WR","R","3922","8.51","298","49.0%","728","45.2%","-5.3pp"
"Crystal Carapace","G","C","38620","13.29","869","45.0%","2024","45.0%","-3.3pp"
"Seizan, Perverter of Truth","B","R","3660","8.66","278","38.5%","764","41.8%","-6.7pp"
"Jin-Gitaxias, Core Augur","U","M","1599","6.17","177","","460","41.5%","-4.6pp"
